HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Cagliari,Roma,1,0,15,6,8,2,4,1,2,1,0,1
Lazio,Bologna,1,1,16,13,9,6,7,3,4,3,1,0
Napoli,Juventus,2,1,9,5,4,2,9,0,2,1,0,0
Pisa,Parma,0,1,14,9,2,2,6,0,2,2,1,0
Udinese,Genoa,1,2,23,12,6,6,6,2,1,0,0,0
Torino,Milan,2,3,8,17,4,6,2,4,2,1,0,0
Lecce,Pisa,1,0,21,5,3,0,12,1,2,1,0,0
Torino,Cremonese,1,0,18,10,6,3,6,6,1,2,0,0
Parma,Lazio,0,1,19,15,5,5,4,4,2,1,0,2
Atalanta,Cagliari,2,1,17,8,8,1,5,4,1,2,0,0
Milan,Sassuolo,2,2,13,8,5,3,7,3,1,3,0,0
Fiorentina,Verona,1,2,20,13,4,3,9,4,1,5,0,0
Udinese,Napoli,1,0,18,7,5,0,1,3,1,0,0,0
Genoa,Inter,1,2,5,18,3,8,1,6,2,3,0,0
Bologna,Juventus,0,1,11,13,4,3,3,4,3,1,1,0
Roma,Como,1,0,14,13,4,1,6,3,3,3,0,0
Lazio,Cremonese,0,0,8,9,2,2,3,0,4,3,0,1
Juventus,Roma,2,1,13,14,9,5,2,4,2,3,0,0
Cagliari,Pisa,2,2,14,15,5,3,2,6,3,2,0,0
Sassuolo,Torino,0,1,7,10,1,5,2,3,3,1,0,0
Fiorentina,Udinese,5,1,20,11,7,4,1,4,3,1,0,1
Genoa,Atalanta,0,1,6,16,3,4,6,10,1,2,1,0
Parma,Fiorentina,1,0,13,23,2,4,5,6,2,2,0,0
Lecce,Como,0,3,11,12,5,6,4,6,2,4,0,0
Torino,Cagliari,1,2,19,9,10,4,6,2,3,0,0,0
Udinese,Lazio,1,1,15,14,4,2,5,6,3,4,0,0
Pisa,Juventus,0,2,8,15,0,7,2,8,4,1,0,0
Milan,Verona,3,0,11,9,5,1,7,3,0,1,0,0
Cremonese,Napoli,0,2,6,22,2,8,1,10,2,2,0,0
Bologna,Sassuolo,1,1,16,8,6,5,2,3,2,3,0,0
Atalanta,Inter,0,1,7,15,0,4,4,7,2,1,0,0
Roma,Genoa,3,1,16,10,8,2,6,1,0,1,0,0
Cagliari,Milan,0,1,6,11,1,4,6,7,2,1,0,0
Como,Udinese,1,0,15,4,3,1,3,2,1,3,0,0
Genoa,Pisa,1,1,12,10,4,2,2,7,1,3,0,0
Sassuolo,Parma,1,1,11,16,3,5,4,7,2,1,0,0
Juventus,Lecce,1,1,25,6,5,1,10,1,0,3,0,0
Atalanta,Roma,1,0,13,10,2,4,7,5,1,2,0,0
Lazio,Napoli,0,2,5,14,0,3,2,6,5,1,2,1
